NAZWISKO;IMIE;DRUGIE_IMIE;PESEL;NR_TELEFONU;ADRES_EMAIL
Nowicki;Jan;Adam;87092694872;600123456;jan.nowicki2513@gmail.com
Kaczmarek;Michał;Piotr;78101554715;701234567;michal.kaczmarek@wp.pl
Sobolewski;Krzysztof;;82090235133;602345678;
Zieliński;Tomasz;Robert;95032435832;603456789;zielinskit15@o2.pl
Jankowski;Paweł;Łukasz;99113057618;604567890;
Wojciechowski;Andrzej;;73042718815;605678901;
Piątek;Adam;;92090259590;606789012;piatekadam@poczta.onet.pl
Kowalenko;Volodymyr;;;720123456;volo.kowal@gmail.com
Malewski;Bartosz;Michał;88091623496;707890123;
Dąbrowski;Jakub;Artur;01212396891;608901234;kkkdabrowski@o2.pl
Ławniczak;Paweł;Łukasz;72111193137;510123456;
Zawisza;Marta;;02311556849;612345678;mzawisza02@outlook.com
Melnyk;Ivan;;;630234567;ivan.melnyk@ukr.net
Majewski;Michał;Piotr;92091123498;713456789;
Ławniczak;Krzysztof;Wojciech;01242025617;614567890;
